Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
hīc,here,0,Adverb,,here,1
"homō, hominis, {m.}",human being,88,Noun,,human being,1
"hōra, hōrae, {f.}",hour,664,Noun,,hour,1
"horribilis, horribile","horrible, terrifying",0,Adjective,,"horrible, terrifying",1
"horrificus, horrifica, horrificum","terrifying, dreadful",0,Adjective,,"terrifying, dreadful",1
"horror, horrōris, {m.}","horror, dread",0,,,"horror, dread",1
"hospes, hospitis, {m./f.}",guest,873,Noun,,guest,1
"hūmānus, hūmāna, hūmānum",human,355,Adjective,,human,1
iam,now; already; no longer {when paired with *nōn*},34,Adverb,,now; already; no longer {when paired with *nōn*},1
ibi,there,619,Adverb,,there,1
"ignōrō, ignōrāre, ignōrāvī, ignōrātum","to take no notice of, ignore",0,,,"to take no notice of, ignore",1
"ille, illa, illud",that {demonstrative pronoun}; he {when used as a {{masculine}} {{substantive}}}; she {when used as a {{feminine}} {{substantive}}}; it {when used as a {{neuter}} {{substantive}}},8,"Adjective, Pronoun",,that {demonstrative pronoun}; he {when used as a {{masculine}} {{substantive}}}; she {when used as a {{feminine}} {{substantive}}}; it {when used as a {{neuter}} {{substantive}}},1
"impatiēns, {(gen.)} impatientis",unable to endure,0,Adjective,,unable to endure,1
"īmus, īma, īmum",lowest,428,Adjective,,lowest,1
in,"in, on {with {{ablative}}}; into, onto, against, to {with {{accusative}}}",5,Preposition,,"in, on {with {{ablative}}}; into, onto, against, to {with {{accusative}}}",1
"īnsānus, īnsāna, īnsānum",mad,0,Adjective,,mad,1
"īnspectō, īnspectāre, īnspectāvī, īnspectātum","to inspect, examine",0,,,"to inspect, examine",1
"īnsula, īnsulae, {f.}","island, apartment building",908,Noun,,"island, apartment building",1
"interficiō, interficere, interfēcī, interfectum",to kill,699,,,to kill,1
"intermissiō, intermissiōnis, {f.}","intermission, break",0,,,"intermission, break",1
"intrō, intrāre, intrāvī, intrātum",to enter,766,Verb,,to enter,1
"inveniō, invenīre, invēnī, inventum",to find,316,Verb,,to find,1
"investīgō, investīgāre, investīgāvī, investīgātum","to investigate, track down",0,,,"to investigate, track down",1
"ipse, ipsa, ipsum","himself, herself, itself {intensive pronoun}; the very",22,"Adjective, Pronoun",,"himself, herself, itself {intensive pronoun}; the very",1
"īrātus, īrāta, īrātum",angry,809,Adjective,,angry,1
"is, ea, id","that; {(genitive, *ēius*)} his; {(accusative, *eum*)} him",13,"Adjective, Pronoun",,"that ‖ {(genitive, *ēius*)} his ‖ {(accusative, *eum*)} him",1
ita,so,120,Adverb,,so,1
"iter, itineris, {n.}","journey, trip",230,Noun,,"journey, trip",1
iterum,again,758,Adverb,,again,1
"labōrō, labōrāre, labōrāvī, labōrātum",to work,900,Verb,,to work,1
"lacus, lacūs, {m.}",lake,0,,,lake,1
"laetus, laeta, laetum",joyful,262,Adjective,,joyful,1
"lentus, lenta, lentum",slow,0,,,slow,1
"longus, longa, longum",long,142,Adjective,,long,1
"lūdus, lūdī, {m.}",school,0,,,school,1
"lūna, lūnae, {f.}",moon,902,Noun,,moon,1
"lycēum, lycēī, {n.}",high school,0,,,high school,1
"magister, magistrī, {m.}",teacher,933,,,teacher,1
"magnus, magna, magnum","great; {in the {{comparative}} *maior, maius*} greater",25,Adjective,,"great; {in the {{comparative}} *maior, maius*} greater",1
male,badly,603,Adverb,,badly,1
"malus, mala, malum",bad,227,Adjective,,bad,1
"manus, manūs, {f.}","hand; handiwork {of artistry or craftsmanship}; power {figuratively, of personal control or agency}; hand-to-hand combat {in the military idiom *cōnserere manūs*, to enter hand-to-hand combat}; claim {in the legal idiom *inicere manūs*, to lay claim to}; {in the idiom *cōnserere manūs*, """"to enter hand-to-hand combat""""}",48,Noun,,"hand; handiwork {of artistry or craftsmanship}; power {figuratively, of personal control or agency}; hand-to-hand combat {in the military idiom *cōnserere manūs*, to enter hand-to-hand combat}; claim {in the legal idiom *inicere manūs*, to lay claim to}; {in the idiom *cōnserere manūs*, """"to enter hand-to-hand combat""""}",1
"mare, maris, {n.}",sea,125,Noun,,sea,1
"marītus, marītī, {m.}",husband,654,Noun,,husband,1
"Mārtiānus, Mārtiānī, {m.}",Martianus,0,,,Martianus,1
"māter, mātris, {f.}",mother,127,Noun,,mother,1
"medicīna, medicīnae, {f.}",medicine,0,Noun,,medicine,1
"medicus, medicī, {m.}",doctor,0,Noun,,doctor,1
"medius, media, medium","middle of {agreeing substantively with its {{noun}}, as *media silvā*, the middle of the forest}",162,Adjective,,"middle of {agreeing substantively with its {{noun}}, as *media silvā*, the middle of the forest}",1
"melior, melius",better,68,Adjective,,better,1
"meminī, meminisse",to remember,670,Verb,,to remember,1
"memoria, memoriae, {f.}",memory,627,,,memory,1
"mēnsa, mēnsae, {f.}",table,747,Noun,,table,1
"mēnsis, mēnsis, {m.}",month,0,,,month,1
"meus, mea, meum",my,41,Adjective,,my,1
mīlle,thousand,247,Numeral,,thousand,1
"minimus, minima, minimum",smallest,143,Adjective,,smallest,1
"mīrāculum, mīrāculī, {n.}","wonder, miracle",0,Noun,,"wonder, miracle",1
"mōns, montis, {m.}",mountain,242,Noun,,mountain,1
"mōnstrum, mōnstrī, {n.}",monster; portent,0,Noun,,monster; portent,1
"morbus, morbī, {m.}","illness, disease",658,Noun,,"illness, disease",1
"mors, mortis, {f.}",death,95,Noun,,death,1
"mortālis, mortāle",mortal,950,Adjective,,mortal,1
"mortuus, mortua, mortuum",dead,0,Adjective,,dead,1
"mōtus, mōtūs, {m.}",motion,0,,,motion,1
mox,soon,469,Adverb,,soon,1
"multus, multa, multum","much {in the {{singular}}}; many {in the {{plural}}}; {in the {{comparative}} *plūs, plūris*} more; {in the {{superlative}} *plūrimus, plūrima, plūrimum*} most",43,Adjective,,"much {in the {{singular}}}; many {in the {{plural}}}; {in the {{comparative}} *plūs, plūris*} more; {in the {{superlative}} *plūrimus, plūrima, plūrimum*} most",1
"mūs, mūris, {m.}",mouse,0,,,mouse,1
"mūsicus, mūsica, mūsicum",musical,0,,,musical,1
"nāta, nātae, {f.}",daughter,0,Noun,,daughter,1
nē,"that not; that {(in clauses of fearing, *timeō nē*)}",47,Conjunction,,"that not ‖ that {(in clauses of fearing, *timeō nē*)}",1
"necō, necāre, necāvī, necātum",to kill,0,,,to kill,1
"nēmō, nēminis, {m./f.}","no one, nobody",179,Noun,,"no one, nobody",1
neque,"and… not, neither",0,Conjunction,,"and… not, neither",1
neque / nec,"nor; and...not; {when repeated, *nec... nec*} neither... nor",19,Conjunction,,"nor; and...not; {when repeated, *nec... nec*} neither... nor",1
"nesciō, nescīre, nescīvī, nescītum",to not know,525,Verb,,to not know,1
nimis,"too, too much",841,Adverb,,"too, too much",1
noctū,at night,0,Adverb,,at night,1
"nōlī, nōlīte",don't!,0,,,don't!,1
